26900,PST,'RESERVOIR ELEVATION (feet)'
20141221,0000,1549.34
20141222,0000,1549.33
20141223,0000,1549.12
20141224,0000,1549.20
20141225,0000,1549.08
20141226,0000,1548.98
20141227,0000,1549.02
20141228,0000,1549.03
20141229,0000,1548.92
20141230,0000,1548.71
20141231,0000,1548.80
20150101,0000,1548.78
20150102,0000,1548.63
20150103,0000,1548.53
20150104,0000,1548.33
20150105,0000,1548.34
20150106,0000,1548.24
20150107,0000,1548.21
20150108,0000,1548.15
20150109,0000,1548.14
20150110,0000,1548.08
20150111,0000,1547.99
20150112,0000,1547.92
20150113,0000,1547.89
20150114,0000,1547.90
20150115,0000,1547.82
20150116,0000,1547.82
20150117,0000,1547.60
20150118,0000,1547.50
20150119,0000,1547.50
20150120,0000,1547.40
20150121,0000,1547.10
20150122,0000,1547.20
20150123,0000,1547.04
20150124,0000,1547.00
20150125,0000,1546.90
20150126,0000,1546.80
20150127,0000,1546.80
20150128,0000,1546.80
20150129,0000,1546.80
20150130,0000,1546.80
20150131,0000,1546.60
20150201,0000,1546.60
20150202,0000,1546.60
20150203,0000,1546.40
20150204,0000,1546.40
20150205,0000,1546.30
20150206,0000,1546.30
20150207,0000,1546.30
20150208,0000,1546.00
20150209,0000,1546.00
20150210,0000,1545.90
20150211,0000,1545.90
20150212,0000,1545.60
20150213,0000,1545.60
20150214,0000,1545.30
20150215,0000,1545.30
20150216,0000,1545.30
20150217,0000,1545.10
20150218,0000,1545.00
20150219,0000,1544.90
20150220,0000,1544.80
20150221,0000,1544.80
20150222,0000,1544.70
20150223,0000,1544.50
20150224,0000,1544.40
20150225,0000,1544.70
20150226,0000,1544.80
20150227,0000,1545.20
20150228,0000,1545.70
20150301,0000,1546.20
20150302,0000,1546.70
20150303,0000,1547.20
20150304,0000,1547.70
20150305,0000,1547.70
20150306,0000,1547.70
20150307,0000,1547.85
20150308,0000,1548.00
20150309,0000,1548.00
20150310,0000,1548.05
20150311,0000,1548.05
20150312,0000,1548.20
20150313,0000,1548.20
20150314,0000,1548.20
20150315,0000,1548.20
20150316,0000,1548.30
20150317,0000,1548.30
20150318,0000,1548.30
20150319,0000,1548.30
20150320,0000,1548.39
20150321,0000,1548.40
20150322,0000,1548.50
20150323,0000,1548.60
20150324,0000,1548.60
20150325,0000,1548.60
20150326,0000,1548.60
20150327,0000,1548.70
20150328,0000,1548.70
20150329,0000,1548.90
20150330,0000,1549.00
20150331,0000,1549.00
20150401,0000,1549.00
20150402,0000,1549.10
20150403,0000,1549.00
20150404,0000,1549.10
20150405,0000,1549.10
20150406,0000,1549.10
20150407,0000,1549.10
20150408,0000,1549.20
20150409,0000,1549.30
20150410,0000,1549.40
20150411,0000,1549.40
20150412,0000,1549.30
20150413,0000,1549.30
20150414,0000,1549.40
20150415,0000,1549.40
20150416,0000,1549.40
20150417,0000,1549.40
20150418,0000,1549.40
20150419,0000,1549.40
20150420,0000,1549.50
20150421,0000,1549.50
20150422,0000,1549.52
20150423,0000,1549.60
20150424,0000,1549.60
20150425,0000,1549.60
20150426,0000,1549.70
20150427,0000,1549.70
20150428,0000,1549.70
20150429,0000,1549.70
20150430,0000,1549.70
20150501,0000,1549.70
20150502,0000,1549.70
20150503,0000,1549.70
20150504,0000,1549.80
20150505,0000,1549.80
20150506,0000,1549.80
20150507,0000,1549.80
20150508,0000,1549.80
20150509,0000,1549.85
20150510,0000,1549.85
20150511,0000,1549.85
20150512,0000,1549.90
20150513,0000,1549.85
20150514,0000,1550.00
20150515,0000,1550.00
20150516,0000,1550.00
20150517,0000,1550.00
20150518,0000,1550.00
20150519,0000,1550.00
20150520,0000,1550.00
20150521,0000,1550.00
20150522,0000,1550.00
20150523,0000,1550.00
20150524,0000,1550.20
20150525,0000,1550.20
20150526,0000,1550.20
20150527,0000,1550.20
20150528,0000,1550.20
20150529,0000,1550.20
20150530,0000,1550.20
20150531,0000,1550.20
20150601,0000,1550.20
20150602,0000,1550.20
20150603,0000,1550.20
20150604,0000,1550.20
20150605,0000,1550.40
20150606,0000,1550.40
20150607,0000,1550.40
20150608,0000,1550.40
20150609,0000,1550.40
20150610,0000,1550.40
20150611,0000,1550.30
20150612,0000,1550.20
20150613,0000,1550.05
20150614,0000,1550.05
20150615,0000,1549.80
20150616,0000,1549.70
20150617,0000,1549.70
20150618,0000,1549.70
20150619,0000,1549.30
20150620,0000,1549.20
20150621,0000,1549.10
20150622,0000,1549.00
20150623,0000,1548.80
20150624,0000,1548.70
20150625,0000,1548.50
20150626,0000,1548.30
20150627,0000,1548.20
20150628,0000,1548.00
20150629,0000,1547.90
20150630,0000,1547.80
20150701,0000,1547.60
20150702,0000,1547.50
20150703,0000,1547.30
20150704,0000,1547.10
20150705,0000,1547.00
20150706,0000,1546.90
20150707,0000,1546.90
20150708,0000,1546.90
20150709,0000,1546.90
20150710,0000,1546.90
20150711,0000,1546.90
20150712,0000,1546.90
20150713,0000,1546.90
20150714,0000,1546.90
20150715,0000,1546.90
20150716,0000,1546.90
20150717,0000,1546.90
20150718,0000,1546.80
20150719,0000,1546.80
20150720,0000,1546.80
20150721,0000,1546.80
20150722,0000,1546.80
20150723,0000,1547.00
20150724,0000,1547.00
20150725,0000,1547.00
20150726,0000,1546.80
20150727,0000,1546.90
20150728,0000,1547.00
20150729,0000,1547.00
20150730,0000,1547.00
20150731,0000,1547.00
20150801,0000,1546.90
20150802,0000,1546.90
20150803,0000,1546.90
20150804,0000,1546.90
20150805,0000,1546.80
20150806,0000,1546.80
20150807,0000,1546.90
20150808,0000,1546.90
20150809,0000,1546.80
20150810,0000,1546.80
20150811,0000,1546.80
20150812,0000,1546.80
20150813,0000,1546.80
20150814,0000,1546.80
20150815,0000,1546.80
20150816,0000,1546.80
20150817,0000,1546.80
20150818,0000,1546.80
20150819,0000,1546.80
20150820,0000,1546.80
20150821,0000,1546.90
20150822,0000,1546.80
20150823,0000,1546.85
20150824,0000,1546.85
20150825,0000,1546.70
20150826,0000,1546.70
20150827,0000,1546.80
20150828,0000,1546.80
20150829,0000,1546.80
20150830,0000,1546.80
20150831,0000,1546.80
20150901,0000,1546.70
20150902,0000,1546.70
20150903,0000,1546.70
20150904,0000,1546.70
20150905,0000,1546.70
20150906,0000,1546.70
20150907,0000,1546.70
20150908,0000,1546.70
20150909,0000,1546.70
20150910,0000,1546.70
20150911,0000,1546.70
20150912,0000,1546.70
20150913,0000,1546.70
20150914,0000,1546.70
20150915,0000,1546.70
20150916,0000,1546.70
20150917,0000,1546.70
20150918,0000,1546.70
20150919,0000,1546.70
20150920,0000,1547.70
20150921,0000,1546.80
20150922,0000,1546.80
20150923,0000,1546.80
20150924,0000,1546.80
20150925,0000,1546.80
20150926,0000,1546.80
20150927,0000,1546.80
20150928,0000,1546.80
20150929,0000,1546.80
20150930,0000,1546.80
20151001,0000,1546.80
20151002,0000,1546.80
20151003,0000,1546.80
20151004,0000,1546.80
20151005,0000,1546.80
20151006,0000,1546.80
20151007,0000,1546.80
20151008,0000,1546.80
20151009,0000,1546.80
20151010,0000,1546.80
20151011,0000,1546.80
20151012,0000,1546.80
20151013,0000,1546.80
20151014,0000,1546.80
20151015,0000,1546.80
20151016,0000,1546.80
20151017,0000,1546.80
