30783,PST,'RESERVOIR ELEVATION (feet)'
20170906,0000,700.04
20170907,0000,700.01
20170908,0000,700.00
20170909,0000,699.99
20170910,0000,699.97
20170911,0000,699.96
20170912,0000,699.94
20170913,0000,699.91
20170914,0000,699.87
20170915,0000,699.86
20170916,0000,699.84
20170917,0000,699.82
20170918,0000,699.78
20170919,0000,699.78
20170920,0000,699.76
20170921,0000,699.73
20170922,0000,699.72
20170923,0000,699.70
20170924,0000,699.61
20170925,0000,699.45
20170926,0000,699.30
20170927,0000,699.14
20170928,0000,698.99
20170929,0000,698.80
20170930,0000,698.57
20171001,0000,698.30
20171002,0000,697.97
20171003,0000,697.63
20171004,0000,697.30
20171005,0000,696.92
20171006,0000,696.58
20171007,0000,696.36
20171008,0000,696.11
20171009,0000,695.86
20171010,0000,695.62
20171011,0000,695.38
20171012,0000,695.14
20171013,0000,694.91
20171014,0000,694.66
20171015,0000,694.44
20171016,0000,694.20
20171017,0000,694.00
20171018,0000,693.75
20171019,0000,693.52
20171020,0000,693.31
20171021,0000,693.08
20171022,0000,692.87
20171023,0000,692.66
20171024,0000,692.34
20171025,0000,692.02
20171026,0000,691.68
20171027,0000,691.32
20171028,0000,690.99
20171029,0000,690.62
20171030,0000,690.22
20171031,0000,689.85
20171101,0000,689.49
20171102,0000,689.13
20171103,0000,688.79
20171104,0000,688.42
20171105,0000,688.02
20171106,0000,687.65
20171107,0000,687.26
20171108,0000,686.88
20171109,0000,686.52
20171110,0000,686.14
20171111,0000,685.75
20171112,0000,685.35
20171113,0000,684.97
20171114,0000,684.57
20171115,0000,684.19
20171116,0000,683.91
20171117,0000,683.60
20171118,0000,683.31
20171119,0000,683.02
20171120,0000,682.71
20171121,0000,682.41
20171122,0000,682.12
20171123,0000,681.82
20171124,0000,681.51
20171125,0000,681.21
20171126,0000,680.91
20171127,0000,680.64
20171128,0000,680.34
20171129,0000,680.01
20171130,0000,679.70
20171201,0000,679.48
20171202,0000,679.30
20171203,0000,679.30
20171204,0000,679.31
20171205,0000,679.29
20171206,0000,679.28
20171207,0000,679.28
20171208,0000,679.28
20171209,0000,679.27
20171210,0000,679.26
20171211,0000,679.26
20171212,0000,679.25
20171213,0000,679.25
20171214,0000,679.24
20171215,0000,679.23
20171216,0000,679.23
20171217,0000,679.22
20171218,0000,679.22
20171219,0000,679.22
20171220,0000,679.22
20171221,0000,679.22
20171222,0000,679.21
20171223,0000,679.21
20171224,0000,679.21
20171225,0000,679.20
20171226,0000,679.20
20171227,0000,679.21
20171228,0000,679.21
20171229,0000,679.21
20171230,0000,679.21
20171231,0000,679.28
20180101,0000,679.20
20180102,0000,679.21
20180103,0000,679.21
20180104,0000,679.23
20180105,0000,679.24
20180106,0000,679.25
20180107,0000,679.24
20180108,0000,679.36
20180109,0000,679.56
20180110,0000,679.65
20180111,0000,679.70
20180112,0000,679.72
20180113,0000,679.74
20180114,0000,679.74
20180115,0000,679.76
20180116,0000,679.79
20180117,0000,679.79
20180118,0000,679.86
20180119,0000,679.86
20180120,0000,679.87
20180121,0000,679.87
20180122,0000,679.89
20180123,0000,679.90
20180124,0000,679.96
20180125,0000,680.01
20180126,0000,680.04
20180127,0000,680.07
20180128,0000,680.08
20180129,0000,680.08
20180130,0000,680.11
20180131,0000,680.12
20180201,0000,680.13
20180202,0000,680.13
20180203,0000,680.14
20180204,0000,680.15
20180205,0000,680.15
20180206,0000,680.16
20180207,0000,680.16
20180208,0000,680.18
20180209,0000,680.18
20180210,0000,680.18
20180211,0000,680.18
20180212,0000,680.18
20180213,0000,680.18
20180214,0000,680.18
20180215,0000,680.18
20180216,0000,680.18
20180217,0000,680.18
20180218,0000,680.16
20180219,0000,680.16
20180220,0000,680.16
20180221,0000,680.16
20180222,0000,680.17
20180223,0000,680.12
20180224,0000,680.12
20180225,0000,680.11
20180226,0000,680.15
20180227,0000,680.17
20180228,0000,680.17
20180301,0000,680.20
20180302,0000,680.39
20180303,0000,680.77
20180304,0000,681.25
20180305,0000,681.70
20180306,0000,682.10
20180307,0000,682.50
20180308,0000,682.90
20180309,0000,683.27
20180310,0000,683.64
20180311,0000,683.98
20180312,0000,684.34
20180313,0000,684.72
20180314,0000,685.09
20180315,0000,685.48
20180316,0000,686.00
20180317,0000,686.42
20180318,0000,686.83
20180319,0000,687.20
20180320,0000,687.57
20180321,0000,688.00
20180322,0000,688.86
20180323,0000,689.73
20180324,0000,690.26
20180325,0000,690.71
20180326,0000,691.10
20180327,0000,691.46
20180328,0000,691.76
20180329,0000,692.07
20180330,0000,692.39
20180331,0000,692.69
20180401,0000,692.99
20180402,0000,693.29
20180403,0000,693.51
20180404,0000,693.70
20180405,0000,693.99
20180406,0000,694.34
20180407,0000,694.85
20180408,0000,695.26
20180409,0000,695.60
20180410,0000,695.90
20180411,0000,696.21
20180412,0000,696.50
20180413,0000,696.57
20180414,0000,696.31
20180415,0000,696.41
20180416,0000,696.74
20180417,0000,697.05
20180418,0000,697.05
20180419,0000,697.60
20180420,0000,697.88
20180421,0000,698.16
20180422,0000,698.45
20180423,0000,698.72
20180424,0000,698.85
20180425,0000,698.84
20180426,0000,698.83
20180427,0000,698.85
20180428,0000,699.11
20180429,0000,699.37
20180430,0000,699.55
20180501,0000,699.67
20180502,0000,699.77
20180503,0000,699.91
20180504,0000,699.91
20180505,0000,699.91
20180506,0000,699.90
20180507,0000,699.89
20180508,0000,699.88
20180509,0000,699.88
20180510,0000,699.82
20180511,0000,699.55
20180512,0000,699.59
20180513,0000,699.84
20180514,0000,700.16
20180515,0000,700.42
20180516,0000,700.70
20180517,0000,700.97
20180518,0000,701.24
20180519,0000,701.50
20180520,0000,701.76
20180521,0000,702.04
20180522,0000,702.29
20180523,0000,702.48
20180524,0000,702.73
20180525,0000,703.01
20180526,0000,703.13
20180527,0000,703.12
20180528,0000,703.11
20180529,0000,703.08
20180530,0000,703.05
20180531,0000,703.02
20180601,0000,703.01
20180602,0000,703.01
20180603,0000,702.99
20180604,0000,702.95
20180605,0000,702.91
20180606,0000,702.86
20180607,0000,702.85
20180608,0000,702.83
20180609,0000,702.80
20180610,0000,702.79
20180611,0000,702.78
20180612,0000,702.76
20180613,0000,702.74
20180614,0000,702.73
20180615,0000,702.70
20180616,0000,702.68
20180617,0000,702.66
20180618,0000,702.64
20180619,0000,702.62
20180620,0000,702.45
