Date,Storage (af),
Oct-05,10868,
Nov-05,10874,
Dec-05,9883,
Jan-06,10498,
Feb-06,9983,
Mar-06,10281,
Apr-06,9960,
May-06,10468,
Jun-06,10948,
Jul-06,10844,
Aug-06,11089,
Sep-06,10825,
Oct-06,10643,
Nov-06,10456,
Dec-06,10789,
Jan-07,10168,
Feb-07,10323,
Mar-07,10868,
Apr-07,10911,
May-07,10825,
Jun-07,10132,
Jul-07,10801,
Aug-07,11163,
Sep-07,10771,
Oct-07,10832,
Nov-07,11181,
Dec-07,11423,
Jan-08,11144,
Feb-08,11492,
Mar-08,10594,
Apr-08,10413,
May-08,10832,
Jun-08,11101,
Jul-08,10954,
Aug-08,11163,
Sep-08,10649,
Oct-08,11009,r
Nov-08,10948,
Dec-08,10437,
Jan-09,11367,
Feb-09,10162,
Mar-09,9983,
Apr-09,10582,
May-09,10954,
Jun-09,10685,
Jul-09,10764,
Aug-09,11027,
Sep-09,11157,
Oct-09,10856,
Nov-09,11064,
Dec-09,11107,
Jan-10,10305,
Feb-10,11095,
Mar-10,9583,
Apr-10,10704,
May-10,10966,
Jun-10,10752,
Jul-10,10704,
Aug-10,10972,
Sep-10,11256,
Oct-10,11673,
Nov-10,11548,
Dec-10,11101,
Jan-11,11467,
Feb-11,11262,
Mar-11,10813,
Apr-11,10649,
May-11,10789,
Jun-11,10685,
Jul-11,11021,
Aug-11,11349,
Sep-11,10649,
Oct-11,10954,
Nov-11,11009,
Dec-11,10389,
Jan-12,11342,
Feb-12,11349,
Mar-12,11586,
Apr-12,11336,
May-12,11398,
Jun-12,11280,
Jul-12,10764,
Aug-12,10480,
Sep-12,10905,
Oct-12,11442,
Nov-12,11423,
Dec-12,10649,
Jan-13,10838,
Feb-13,11504,
Mar-13,11392,
Apr-13,11324,
May-13,10893,
Jun-13,10948,
Jul-13,10954,
Aug-13,10783,
Sep-13,10887,
Oct-13,10722,
Nov-13,11249,
Dec-13,11015,
Jan-14,11429,
Feb-14,11944,
Mar-14,11274,
Apr-14,11730,
May-14,11667,
Jun-14,11027,
Jul-14,11467,
Aug-14,11824,
Sep-14,11188,
Oct-14,10650,e
Nov-14,11194,
Dec-14,10588,
Jan-15,10752,
Feb-15,11673,
Mar-15,11831,
Apr-15,12014,
May-15,12288,
Jun-15,12065,
Jul-15,10856,
Aug-15,11579,
Sep-15,11219,
Oct-15,12090,
Nov-15,11467,
Dec-15,10710,
Jan-16,9906,
Feb-16,9841,
Mar-16,10168,
Apr-16,10132,
May-16,11336,
Jun-16,11256,
Jul-16,11805,
Aug-16,11107,
Sep-16,10832,
Oct-16,11411,
Nov-16,10437,
Dec-16,10588,
Jan-17,10510,
Feb-17,11311,
Mar-17,10096,
Apr-17,10832,
May-17,11089,
Jun-17,11188,
Jul-17,10728,
Aug-17,11287,
Sep-17,10049,
Oct-17,11040,
Nov-17,10960,
Dec-17,11052,
Jan-18,10144,
Feb-18,11114,
Mar-18,10764,
Apr-18,11225,r
May-18,11237,
Jun-18,11461,
