Date,Storage (af),
Mar-17,34414,
Apr-17,50127,
May-17,41110,
Jun-17,41671,
Jul-17,47592,
Aug-17,48912,
Sep-17,49437,
Oct-17,32218,
Nov-17,43261,
Dec-17,43337,
Jan-18,48070,
Feb-18,43874,
Mar-18,36820,
Apr-18,46562,
May-18,44220,
Jun-18,43376,
Jul-18,--,
