"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-18",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","72",",,0","42",",,0","47",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-19",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","71",",,0","42",",,0","44",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-20",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","72",",,0","41",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-21",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","68",",,0","40",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-22",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","65",",,0","40",",,0","44",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-23",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","77",",,0","39",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-24",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","77",",,0","36",",,0","47",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-25",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","73",",,0","39",",,0","44",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-26",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","70",",,0","42",",,0","55",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-27",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","65",",,0","43",",,0","45",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-02-28",,,,,"0.26",",,0,0700","0.0","P,,0","0.0","P,,0","55",",,0","44",",,0","52",",,0,0700",,,,,,,,
