15620,PST,'RESERVOIR ELEVATION (feet)'
20080124,0000,1504.81
20080125,0000,1504.73
20080126,0000,1504.30
20080127,0000,1504.38
20080128,0000,1505.77
20080129,0000,1506.81
20080130,0000,1507.33
20080131,0000,1507.10
20080201,0000,1506.73
20080202,0000,1506.37
20080203,0000,1506.14
20080204,0000,1506.81
20080205,0000,1507.18
20080206,0000,1506.62
20080207,0000,1506.86
20080208,0000,1506.54
20080209,0000,1506.18
20080210,0000,1506.45
20080211,0000,1506.81
20080212,0000,1506.34
20080213,0000,1505.81
20080214,0000,1505.25
20080215,0000,1504.58
20080216,0000,1503.86
20080217,0000,1503.10
20080218,0000,1503.01
20080219,0000,1503.77
20080220,0000,1504.41
20080221,0000,1506.13
20080222,0000,1507.70
20080223,0000,1507.77
20080224,0000,1507.50
20080225,0000,1507.77
20080226,0000,1508.93
20080227,0000,1509.61
20080228,0000,1509.85
20080229,0000,1509.82
